home_team,away_team,home_possession,away_possession,home_xg,away_xg,home_shots_per_ninety,away_shots_per_ninety,home_pass_accuracy,away_pass_accuracy,home_form,away_form,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,home_injuries,away_injuries,home_advantage,goal_difference_average,result
Chelsea,Liverpool,42.7,57.3,2.08,2.12,17.8,5.5,88.7,75.2,1.0,1.07,0.28,0.25,0.47,5,2,0.76,2.46,D
Man City,Crystal Palace,63.6,36.4,1.78,1.51,9.3,6.3,87.9,70.7,0.94,2.3,0.21,0.16,0.63,3,2,1.19,2.22,H
Liverpool,Sheffield United,55.6,44.4,2.61,0.46,22.0,7.6,84.9,85.8,1.0,2.45,0.5,0.14,0.36,3,0,0.67,0.58,D
Crystal Palace,Nottm Forest,38.9,61.1,2.07,0.68,11.0,7.4,77.6,87.4,0.88,1.92,0.22,0.19,0.59,3,4,0.98,-1.61,H
Crystal Palace,Tottenham,50.6,49.4,1.98,2.05,11.5,17.9,82.9,68.4,1.64,2.14,0.34,0.33,0.33,2,4,1.0,-0.25,H
Man United,Man City,47.6,52.4,1.0,2.27,18.9,5.8,91.8,79.6,2.49,2.8,0.59,0.13,0.28,5,1,0.77,1.67,A
Arsenal,Brighton,55.3,44.7,2.76,1.15,21.1,17.9,75.5,73.2,1.5,2.2,0.28,0.28,0.44,5,5,0.85,0.55,D
Tottenham,Sheffield United,66.5,33.5,2.42,2.08,21.6,12.0,75.5,68.8,0.92,1.88,0.11,0.24,0.65,2,4,0.7,-1.41,H
Man United,Brentford,39.8,60.2,0.84,1.85,10.0,6.4,82.5,76.0,0.96,2.12,0.43,0.28,0.29,2,2,0.82,2.39,A
Wolves,Nottm Forest,57.5,42.5,0.9,2.43,17.7,17.1,87.7,72.9,2.1,0.9,0.25,0.31,0.44,1,1,1.23,2.27,H
Sheffield United,Crystal Palace,63.5,36.5,2.27,1.55,10.5,9.1,88.2,81.5,2.21,0.74,0.35,0.2,0.45,0,1,0.85,-0.56,H
Liverpool,Brentford,51.4,48.6,1.11,0.85,8.9,8.3,74.2,68.0,1.65,2.18,0.58,0.37,0.05,3,3,0.85,-0.31,D
Nottm Forest,Sheffield United,57.5,42.5,2.08,0.66,9.0,16.0,77.9,75.0,2.89,0.67,0.19,0.21,0.6,5,0,1.05,2.04,H
Liverpool,Brentford,55.8,44.2,1.91,1.36,8.4,17.3,75.3,87.6,1.15,0.73,0.2,0.16,0.64,5,4,1.22,1.28,D
Aston Villa,West Ham,46.9,53.1,0.72,1.16,15.7,11.4,73.1,68.1,0.99,2.39,0.41,0.24,0.35,0,0,0.71,0.87,A
Liverpool,Nottm Forest,63.3,36.7,1.21,1.17,14.8,13.6,73.8,80.0,1.21,2.54,0.28,0.23,0.49,2,3,0.97,-0.98,H
Aston Villa,Sheffield United,39.8,60.2,2.23,1.77,9.2,9.5,82.8,89.4,2.1,1.77,0.52,0.35,0.13,3,4,1.19,2.21,H
Sheffield United,Brighton,52.3,47.7,0.68,2.29,18.0,11.5,90.0,85.6,2.29,1.93,0.16,0.33,0.51,1,1,1.47,1.64,A
Tottenham,Arsenal,50.7,49.3,2.77,1.26,22.0,13.2,88.7,73.7,2.8,2.6,0.13,0.22,0.65,3,4,0.83,-0.76,H
Everton,Man City,61.6,38.4,1.93,1.45,13.9,10.4,75.0,80.9,2.47,2.66,0.56,0.27,0.17,0,2,1.37,1.96,H
Wolves,Aston Villa,49.5,50.5,1.62,1.64,8.5,8.6,74.9,81.4,2.33,0.59,0.54,0.2,0.26,1,0,1.25,2.14,D
Fulham,Man City,48.1,51.9,2.33,0.98,19.8,16.2,85.7,89.4,1.3,1.19,0.47,0.33,0.2,2,2,1.23,0.72,H
Liverpool,Newcastle,51.3,48.7,2.6,1.2,14.8,11.7,79.5,69.2,2.54,0.65,0.45,0.22,0.33,4,4,0.53,-1.13,H
Newcastle,Arsenal,45.5,54.5,1.55,2.32,17.9,8.6,88.5,79.1,2.2,0.78,0.12,0.21,0.67,4,3,0.68,1.92,A
Sheffield United,Burnley,48.5,51.5,0.88,2.27,18.5,14.0,77.7,76.5,1.16,1.82,0.58,0.36,0.06,5,1,1.18,-0.79,A
Wolves,Bournemouth,38.6,61.4,2.29,1.99,8.1,16.8,84.9,81.2,0.82,1.08,0.5,0.19,0.31,5,5,0.78,2.03,H
Fulham,Everton,45.6,54.4,1.57,1.79,19.5,10.2,74.0,79.3,2.26,2.44,0.29,0.29,0.42,4,2,0.8,-1.51,D
Liverpool,Brentford,67.7,32.3,1.97,2.2,11.7,14.2,89.8,74.6,1.13,2.26,0.55,0.34,0.11,4,3,1.16,1.06,H
Man City,Nottm Forest,67.9,32.1,1.1,1.22,13.4,5.5,86.2,80.6,1.22,2.17,0.21,0.26,0.53,3,5,0.86,-0.65,A
Man United,Burnley,43.4,56.6,0.72,0.58,11.6,15.5,87.3,72.0,2.3,1.27,0.14,0.21,0.65,5,2,0.92,1.99,D
Fulham,Aston Villa,55.6,44.4,1.57,0.56,8.8,13.2,83.6,81.7,1.84,0.95,0.16,0.3,0.54,4,2,0.91,1.92,H
Tottenham,Luton,67.8,32.2,1.29,2.47,20.5,17.8,74.9,87.0,1.2,0.69,0.27,0.4,0.33,2,5,0.56,0.03,H
Newcastle,Man United,55.3,44.7,0.86,2.03,18.9,6.7,80.7,77.4,1.74,1.6,0.1,0.26,0.64,5,2,1.45,2.01,D
Bournemouth,Newcastle,38.5,61.5,0.51,1.91,11.2,16.4,78.2,70.3,1.91,1.2,0.13,0.11,0.76,2,3,1.23,0.68,H
Brentford,Wolves,64.6,35.4,2.79,1.05,20.6,9.7,75.8,88.9,2.82,1.43,0.21,0.32,0.47,1,1,1.23,0.65,H
Man United,Chelsea,49.0,51.0,2.0,0.38,20.3,8.3,82.7,69.1,2.99,2.02,0.43,0.11,0.46,5,0,0.92,-0.29,H
Burnley,Aston Villa,52.2,47.8,0.85,1.83,16.8,8.9,85.2,82.6,1.39,1.89,0.17,0.35,0.48,0,4,1.22,-1.47,D
Chelsea,Luton,52.9,47.1,1.9,2.01,19.6,17.7,79.2,77.0,1.15,1.76,0.56,0.31,0.13,3,2,0.73,-1.94,D
Liverpool,Chelsea,63.1,36.9,2.04,0.63,9.3,11.7,86.5,70.2,1.36,1.03,0.59,0.19,0.22,3,0,0.6,-1.21,H
Arsenal,West Ham,48.8,51.2,2.06,1.24,9.6,16.1,89.8,68.2,1.1,1.99,0.26,0.37,0.37,4,2,1.38,-1.58,D
Brentford,Man United,41.4,58.6,1.42,1.3,19.7,14.0,81.6,77.3,2.75,0.88,0.17,0.32,0.51,1,0,0.92,0.66,D
Sheffield United,Everton,43.4,56.6,1.37,1.09,8.4,13.9,88.8,89.4,1.09,2.62,0.16,0.22,0.62,0,0,0.76,-0.59,A
Bournemouth,Sheffield United,59.7,40.3,1.02,2.4,20.2,11.7,85.8,81.6,1.75,2.17,0.34,0.3,0.36,5,3,0.65,1.72,A
Luton,Arsenal,38.3,61.7,2.65,1.41,14.6,11.4,75.3,84.5,1.51,1.26,0.24,0.25,0.51,4,5,0.88,1.68,H
Liverpool,Everton,51.3,48.7,1.82,0.49,15.0,9.1,91.6,84.4,0.84,1.43,0.12,0.26,0.62,0,4,1.46,0.87,H
Bournemouth,Burnley,44.2,55.8,2.04,2.39,13.1,5.7,76.5,78.0,2.03,1.93,0.34,0.3,0.36,5,3,0.61,1.42,A
Brighton,Man City,48.2,51.8,2.41,2.42,12.1,11.8,86.0,69.0,1.16,0.82,0.46,0.32,0.22,0,2,1.11,-1.16,H
Crystal Palace,Newcastle,51.7,48.3,2.3,1.88,9.5,10.4,90.5,86.4,2.1,2.28,0.33,0.3,0.37,4,1,1.46,-1.98,A
Arsenal,Burnley,66.1,33.9,2.43,1.36,15.1,17.0,75.5,80.7,2.41,0.8,0.29,0.28,0.43,2,4,1.38,-0.12,H
Luton,Brighton,46.2,53.8,2.72,2.44,14.3,6.7,80.3,83.4,2.45,1.19,0.45,0.36,0.19,5,5,1.44,0.85,H
Newcastle,Luton,56.7,43.3,1.17,1.06,17.4,17.8,85.0,89.1,1.91,2.1,0.26,0.13,0.61,2,4,0.98,0.57,H
Wolves,Burnley,46.6,53.4,2.45,2.08,15.3,5.3,74.9,82.7,1.24,2.23,0.18,0.19,0.63,2,1,1.34,1.11,A
West Ham,Newcastle,60.6,39.4,0.57,2.09,9.4,16.3,86.8,87.0,2.43,1.79,0.22,0.34,0.44,5,2,1.19,-1.79,A
Crystal Palace,Luton,50.5,49.5,2.31,1.81,21.5,5.7,86.9,72.5,2.71,2.48,0.32,0.17,0.51,5,5,1.21,-0.35,H
Sheffield United,Burnley,60.2,39.8,0.95,1.89,10.7,10.8,91.7,69.6,2.92,2.19,0.16,0.11,0.73,2,4,0.76,-1.28,A
Aston Villa,Man City,47.9,52.1,2.13,0.64,10.2,9.2,73.0,88.5,2.15,2.02,0.35,0.27,0.38,2,0,1.28,-0.57,H
Brighton,Man United,53.6,46.4,2.31,0.65,15.6,10.2,79.0,87.4,2.26,1.26,0.25,0.39,0.36,4,4,0.97,0.53,H
Man City,Chelsea,58.1,41.9,1.53,2.29,16.6,13.1,91.2,83.0,1.51,2.61,0.57,0.22,0.21,4,5,0.78,2.1,A
Fulham,Bournemouth,62.1,37.9,1.52,0.4,20.6,7.5,82.3,88.9,1.17,2.7,0.37,0.1,0.53,0,1,1.17,1.48,H
Wolves,Chelsea,44.2,55.8,2.41,2.23,18.4,10.7,88.3,69.6,2.31,0.55,0.46,0.11,0.43,0,0,0.68,-0.87,H
Liverpool,Sheffield United,62.6,37.4,2.6,1.2,14.3,10.3,78.3,76.6,1.06,0.51,0.46,0.12,0.42,5,4,0.55,1.82,D
Fulham,Bournemouth,41.2,58.8,2.31,0.96,9.2,14.9,80.8,76.7,2.25,1.59,0.37,0.14,0.49,3,4,0.79,0.85,H
West Ham,Fulham,66.7,33.3,0.53,2.22,10.0,5.5,83.5,76.7,2.0,0.7,0.21,0.32,0.47,5,2,0.71,2.08,D
Bournemouth,Tottenham,42.8,57.2,1.01,2.14,10.7,7.4,88.0,86.7,2.67,2.64,0.6,0.24,0.16,4,0,0.79,-1.7,A
Chelsea,Newcastle,59.8,40.2,1.62,1.03,9.8,13.5,74.0,81.6,2.78,1.23,0.33,0.28,0.39,2,5,1.08,0.54,H
Fulham,Brentford,66.8,33.2,0.89,0.99,19.0,14.3,84.8,74.1,1.59,2.06,0.27,0.24,0.49,3,2,1.27,0.19,D
Chelsea,Man United,57.4,42.6,0.69,0.92,19.6,16.6,75.9,84.1,2.18,2.17,0.55,0.35,0.1,5,0,1.31,0.61,D
Sheffield United,Newcastle,65.2,34.8,1.77,1.5,22.0,11.1,87.5,76.0,1.29,2.28,0.47,0.19,0.34,3,4,1.01,-0.21,H
Bournemouth,Man City,57.9,42.1,2.45,2.07,16.6,7.2,82.3,77.8,1.19,2.68,0.43,0.39,0.18,5,5,0.98,-0.39,A
Brighton,Nottm Forest,45.0,55.0,1.11,0.81,17.4,11.7,87.8,76.5,2.82,2.53,0.12,0.29,0.59,0,5,1.47,0.85,H
Aston Villa,Luton,55.4,44.6,1.81,1.13,13.3,12.6,90.0,69.7,1.35,2.74,0.21,0.22,0.57,2,3,1.29,1.99,D
Man City,Bournemouth,64.5,35.5,1.51,0.81,15.2,8.7,75.0,71.5,2.12,2.38,0.43,0.22,0.35,2,5,0.61,1.04,H
Nottm Forest,Newcastle,55.7,44.3,1.99,1.2,11.4,6.7,83.8,71.0,1.93,2.55,0.17,0.15,0.68,1,4,1.46,0.7,H
Sheffield United,Man City,64.4,35.6,2.17,2.11,21.3,7.8,84.1,78.4,1.86,1.0,0.31,0.14,0.55,4,1,1.12,0.3,H
Man United,Brentford,65.7,34.3,1.87,0.45,13.3,6.7,72.3,79.5,2.8,2.07,0.51,0.28,0.21,1,3,1.4,0.7,H
Burnley,Bournemouth,60.6,39.4,0.71,1.75,20.6,12.0,72.0,88.6,2.29,1.49,0.31,0.36,0.33,5,4,0.93,2.22,H
Nottm Forest,Crystal Palace,48.5,51.5,2.35,2.3,19.7,12.5,80.5,73.6,2.48,2.59,0.14,0.28,0.58,4,3,0.76,-1.98,H
Man City,Sheffield United,53.7,46.3,1.7,1.13,10.9,15.5,80.2,70.3,1.74,1.85,0.23,0.26,0.51,4,2,1.11,2.46,H
Crystal Palace,Newcastle,50.4,49.6,2.3,1.36,13.2,12.2,77.1,74.7,1.56,2.12,0.47,0.36,0.17,5,0,1.25,0.01,A
Man United,Chelsea,44.4,55.6,1.42,1.04,15.7,14.1,86.1,71.5,2.92,0.51,0.15,0.14,0.71,4,3,0.59,-0.82,D
Fulham,Liverpool,56.3,43.7,2.17,2.35,13.6,13.5,77.7,89.2,0.93,2.28,0.19,0.25,0.56,0,1,1.35,2.19,H
Bournemouth,West Ham,43.8,56.2,2.3,1.42,17.8,13.0,85.5,75.9,2.24,2.74,0.14,0.18,0.68,3,2,1.17,-0.18,A
Newcastle,Bournemouth,38.5,61.5,2.12,2.32,15.7,14.4,83.2,80.8,1.56,2.38,0.21,0.39,0.4,3,3,1.07,-0.83,D
Wolves,Bournemouth,41.2,58.8,0.67,0.95,21.3,15.4,91.1,87.3,2.59,1.82,0.45,0.39,0.16,4,3,1.27,1.41,H
Everton,Luton,64.9,35.1,2.48,1.36,11.6,10.0,87.8,72.8,2.34,2.34,0.31,0.21,0.48,4,0,1.2,-0.81,D
West Ham,Liverpool,50.0,50.0,2.22,1.05,15.8,7.3,78.3,72.8,2.06,0.92,0.47,0.38,0.15,1,3,1.24,-0.94,H
Brighton,Aston Villa,44.2,55.8,0.97,0.85,16.7,7.0,74.1,88.2,2.29,2.03,0.41,0.33,0.26,4,0,1.35,-0.33,A
Brentford,Nottm Forest,64.9,35.1,2.53,1.56,11.8,7.4,87.3,79.2,1.68,2.23,0.16,0.26,0.58,3,3,1.44,-1.85,D
Fulham,Crystal Palace,63.8,36.2,2.28,1.31,9.7,11.7,78.3,68.2,2.28,1.37,0.15,0.21,0.64,2,1,1.05,-0.93,H
Nottm Forest,Brentford,49.0,51.0,1.65,0.76,17.8,9.8,89.1,74.2,1.2,0.8,0.39,0.17,0.44,0,5,0.77,-0.94,D
Wolves,Crystal Palace,43.9,56.1,2.34,1.92,14.6,5.1,80.4,71.0,2.77,1.95,0.37,0.19,0.44,3,2,0.75,1.86,H
Arsenal,Crystal Palace,41.0,59.0,0.88,0.77,11.6,15.9,73.9,84.4,1.37,1.33,0.38,0.34,0.28,2,0,0.91,-0.42,A
Luton,Newcastle,55.3,44.7,1.99,1.48,21.7,8.7,78.5,79.2,2.5,1.53,0.14,0.28,0.58,3,5,1.46,1.91,H
Brentford,Wolves,56.9,43.1,1.81,2.17,9.0,7.1,76.6,75.0,1.44,1.12,0.42,0.18,0.4,3,2,1.25,0.34,D
Everton,Wolves,43.0,57.0,2.46,0.58,11.3,8.3,86.9,84.5,1.26,1.41,0.15,0.38,0.47,3,4,0.55,1.47,H
Bournemouth,Liverpool,41.1,58.9,1.92,0.49,21.0,10.1,76.6,84.2,1.77,0.79,0.36,0.15,0.49,0,5,0.86,2.12,D
Nottm Forest,Everton,67.2,32.8,1.74,0.9,14.2,17.6,86.0,71.9,2.11,1.95,0.42,0.27,0.31,4,5,1.14,-0.61,H
Fulham,Nottm Forest,54.2,45.8,2.35,1.27,13.1,8.4,78.1,68.0,2.59,2.45,0.27,0.24,0.49,0,5,1.42,2.26,H
Nottm Forest,West Ham,38.3,61.7,1.49,0.94,11.2,5.1,79.5,77.1,2.03,1.41,0.18,0.32,0.5,3,3,0.72,-1.64,A
Brighton,Bournemouth,60.9,39.1,2.59,2.08,17.6,8.7,86.9,85.8,1.71,2.46,0.19,0.19,0.62,5,3,1.12,-0.78,H
Luton,Nottm Forest,43.6,56.4,0.54,0.41,15.5,7.4,74.0,73.9,2.37,2.17,0.22,0.15,0.63,3,1,0.84,-0.6,D
Nottm Forest,Fulham,51.9,48.1,2.32,1.03,19.8,17.4,73.1,85.1,0.96,1.58,0.2,0.35,0.45,3,0,0.62,1.46,D
Brighton,Crystal Palace,61.1,38.9,1.52,1.92,8.5,11.0,87.4,79.5,2.96,1.59,0.44,0.19,0.37,2,1,1.13,-1.81,D
Burnley,Bournemouth,41.7,58.3,1.61,0.96,13.0,5.7,85.3,89.4,1.32,1.5,0.11,0.34,0.55,4,0,0.9,-0.91,A
Arsenal,Sheffield United,61.5,38.5,1.59,1.61,13.2,6.2,75.2,70.0,2.16,2.64,0.6,0.29,0.11,0,2,1.14,1.16,H
Chelsea,Tottenham,52.6,47.4,1.23,1.53,17.0,9.5,89.8,84.1,0.85,1.37,0.46,0.18,0.36,0,3,1.21,0.52,H
Burnley,Nottm Forest,43.7,56.3,0.93,1.06,18.3,8.6,88.6,88.1,2.02,0.66,0.18,0.19,0.63,2,4,0.87,-2.0,H
Bournemouth,Crystal Palace,60.0,40.0,2.53,1.66,13.1,13.1,78.4,69.4,2.93,2.38,0.19,0.3,0.51,4,1,1.11,-0.55,D
Brentford,Chelsea,40.9,59.1,2.02,0.4,21.1,7.3,72.6,70.4,1.22,0.57,0.42,0.22,0.36,3,4,1.12,0.66,H
Arsenal,Fulham,44.6,55.4,2.15,0.33,20.9,13.5,90.6,86.3,1.83,1.97,0.28,0.32,0.4,3,2,1.29,-1.74,A
Luton,Aston Villa,53.9,46.1,2.19,2.14,9.1,7.8,82.4,70.2,1.31,1.39,0.2,0.3,0.5,4,5,1.45,0.51,D
Burnley,Wolves,60.4,39.6,2.26,1.57,17.4,14.1,80.5,70.3,2.54,1.76,0.35,0.3,0.35,4,4,0.94,-0.41,H
Brentford,Burnley,67.7,32.3,1.25,1.12,18.7,10.6,86.5,81.4,2.04,0.99,0.48,0.38,0.14,2,2,1.46,0.01,H
Crystal Palace,Man City,59.8,40.2,2.76,1.61,15.2,17.9,78.0,74.6,1.29,2.47,0.11,0.35,0.54,5,2,1.42,0.3,D
Sheffield United,Luton,42.6,57.4,0.59,1.08,9.9,9.8,83.6,73.1,2.58,0.71,0.3,0.38,0.32,5,0,1.22,1.57,D
Man United,Nottm Forest,62.8,37.2,2.09,1.57,20.7,12.7,78.0,84.1,2.07,0.68,0.13,0.33,0.54,2,3,0.92,1.91,H
Brighton,Man City,57.0,43.0,1.95,0.42,15.3,9.2,83.3,75.2,2.34,0.85,0.44,0.4,0.16,3,4,1.08,-1.59,H
Wolves,West Ham,61.6,38.4,0.84,1.04,14.7,14.7,83.0,73.8,1.68,1.5,0.45,0.33,0.22,3,4,0.7,-0.22,H
Sheffield United,Newcastle,54.8,45.2,2.79,1.45,11.4,8.5,80.6,83.1,2.07,0.76,0.31,0.21,0.48,1,2,0.84,0.95,H
West Ham,Man United,67.6,32.4,1.92,2.48,14.2,6.9,72.9,86.0,1.24,1.36,0.48,0.36,0.16,0,5,0.55,2.27,D
Tottenham,West Ham,38.4,61.6,2.1,0.54,14.3,5.3,76.2,79.8,1.25,1.7,0.23,0.24,0.53,5,1,1.2,1.01,H
Crystal Palace,Sheffield United,65.2,34.8,1.71,0.86,8.8,7.6,85.9,74.0,1.82,2.67,0.13,0.3,0.57,5,5,0.86,-1.51,H
West Ham,Crystal Palace,44.9,55.1,1.38,2.45,9.4,9.1,89.3,79.7,1.21,1.65,0.33,0.38,0.29,0,0,0.75,0.38,D
Brentford,Nottm Forest,49.8,50.2,0.86,1.06,12.9,13.1,76.7,89.5,1.9,2.37,0.41,0.36,0.23,0,4,1.45,-0.98,H
Brentford,Crystal Palace,57.7,42.3,0.7,1.14,21.4,13.0,84.5,73.0,1.33,0.85,0.59,0.37,0.04,2,3,1.04,-1.07,D
Tottenham,Sheffield United,54.2,45.8,2.34,2.2,12.3,14.2,82.5,71.0,2.99,2.74,0.17,0.38,0.45,1,2,0.57,0.4,D
Chelsea,Man United,47.5,52.5,2.52,1.9,18.7,16.4,80.3,77.0,1.77,2.65,0.55,0.38,0.07,2,1,1.28,-1.52,D
Man United,Man City,60.9,39.1,1.91,0.89,15.9,8.0,76.6,83.1,1.59,2.08,0.34,0.25,0.41,4,3,1.21,-0.32,H
Crystal Palace,Nottm Forest,52.2,47.8,0.88,0.8,13.7,17.6,90.5,88.9,1.29,2.04,0.2,0.16,0.64,1,3,1.37,0.2,D
Brentford,Everton,64.6,35.4,1.48,2.01,16.5,15.7,86.4,76.7,2.87,1.82,0.37,0.29,0.34,5,0,1.02,0.03,D
Arsenal,Brighton,53.6,46.4,1.41,1.92,15.8,11.7,84.6,69.1,1.44,1.42,0.25,0.35,0.4,3,1,0.92,0.76,H
Arsenal,Bournemouth,65.1,34.9,1.57,1.72,9.3,11.5,75.6,80.9,2.77,1.76,0.3,0.2,0.5,0,1,0.95,2.03,H
Newcastle,Everton,40.7,59.3,1.25,1.73,18.0,7.1,86.7,70.0,2.35,1.96,0.14,0.31,0.55,5,4,1.11,-1.28,D
Burnley,Crystal Palace,39.3,60.7,0.89,1.04,20.2,16.2,75.2,71.2,2.49,0.62,0.25,0.32,0.43,3,2,1.13,-1.47,D
Tottenham,Newcastle,38.1,61.9,2.26,0.33,15.0,11.5,88.1,81.4,1.89,1.0,0.43,0.24,0.33,3,0,1.1,-1.97,D
Burnley,Aston Villa,56.6,43.4,1.78,2.12,8.7,6.9,85.1,68.8,2.68,2.03,0.52,0.19,0.29,0,0,0.61,2.47,H
Man United,West Ham,56.3,43.7,2.09,1.61,19.0,7.3,81.1,80.7,2.85,0.71,0.25,0.21,0.54,3,0,1.26,1.79,H
Liverpool,West Ham,52.1,47.9,0.78,2.19,12.6,10.4,76.2,72.6,0.93,1.81,0.59,0.26,0.15,0,3,1.22,0.72,D
West Ham,Wolves,56.3,43.7,1.23,1.46,21.9,9.6,74.6,80.4,1.94,1.95,0.35,0.15,0.5,4,1,1.21,2.41,H
Man City,Chelsea,38.7,61.3,1.94,0.56,19.9,15.4,92.0,77.1,1.53,1.79,0.42,0.1,0.48,1,5,0.78,1.56,H
West Ham,Luton,53.2,46.8,1.25,0.31,17.6,9.4,86.5,81.6,0.86,0.9,0.27,0.2,0.53,5,3,1.42,1.59,H
Tottenham,Nottm Forest,42.7,57.3,1.56,2.2,20.5,11.0,88.3,88.4,0.92,1.7,0.38,0.3,0.32,4,4,0.52,0.6,A
Brentford,Fulham,40.0,60.0,0.84,2.15,12.7,9.9,82.7,71.7,2.13,0.93,0.16,0.33,0.51,2,5,1.36,1.19,D
Aston Villa,Wolves,40.6,59.4,2.52,1.12,19.6,8.9,82.5,71.9,1.62,0.59,0.2,0.13,0.67,4,0,1.3,2.07,H
Tottenham,Newcastle,48.2,51.8,1.61,2.22,12.3,9.3,87.4,70.2,2.96,1.69,0.6,0.16,0.24,0,3,0.89,1.89,H
Chelsea,Man City,47.3,52.7,0.6,2.17,20.2,9.3,89.8,70.3,2.49,2.21,0.11,0.33,0.56,5,1,0.82,-1.13,A
Aston Villa,Burnley,47.6,52.4,1.51,0.56,10.1,8.6,72.3,81.7,1.93,0.98,0.28,0.2,0.52,1,5,1.3,0.58,H
Man United,Liverpool,47.3,52.7,2.55,1.49,8.7,5.4,90.1,69.1,1.64,0.7,0.3,0.31,0.39,4,5,1.34,1.15,H
Luton,Fulham,47.4,52.6,2.38,1.87,17.4,11.9,91.5,84.6,1.82,0.8,0.51,0.38,0.11,3,0,0.96,1.08,D
Everton,Nottm Forest,45.0,55.0,1.01,2.19,16.6,16.9,79.8,83.4,2.26,2.31,0.54,0.24,0.22,0,0,0.98,-0.42,A
Everton,Man United,46.5,53.5,1.3,1.56,15.1,10.3,86.3,70.4,2.02,0.66,0.25,0.24,0.51,4,3,0.74,-0.9,H
Man United,Nottm Forest,49.5,50.5,1.28,2.09,16.3,15.2,80.7,85.3,2.0,1.04,0.43,0.12,0.45,5,4,1.34,-1.49,D
Luton,Everton,47.8,52.2,0.72,1.28,12.3,10.3,84.0,83.1,2.11,2.39,0.26,0.29,0.45,0,0,0.72,-1.37,D
Sheffield United,Man City,60.7,39.3,2.02,1.3,12.1,13.0,80.9,72.5,2.73,1.19,0.5,0.3,0.2,3,5,1.48,-0.45,H
Liverpool,Sheffield United,38.2,61.8,2.77,1.19,9.8,8.8,79.4,80.1,0.92,2.12,0.51,0.21,0.28,2,0,0.74,1.16,D
Crystal Palace,Brentford,59.4,40.6,1.43,1.26,11.0,7.3,74.8,80.2,2.66,1.33,0.31,0.19,0.5,5,1,0.63,-1.68,A
Man City,Tottenham,59.6,40.4,1.62,1.26,21.9,6.1,84.8,77.1,1.8,2.31,0.4,0.23,0.37,1,3,1.01,0.48,H
Everton,Crystal Palace,48.7,51.3,0.93,1.63,16.1,16.0,76.7,79.0,1.7,1.76,0.28,0.39,0.33,4,3,1.2,-1.49,A
Nottm Forest,Liverpool,42.3,57.7,2.18,2.46,21.8,15.1,81.3,69.7,2.76,0.7,0.34,0.32,0.34,5,0,1.18,0.43,H
Sheffield United,West Ham,56.4,43.6,2.58,1.48,8.2,10.9,90.1,80.6,1.53,1.31,0.59,0.19,0.22,1,0,1.2,0.69,H
West Ham,Sheffield United,45.8,54.2,1.95,1.57,16.0,13.5,77.8,84.2,0.86,1.61,0.16,0.12,0.72,2,2,0.63,-0.74,A
Aston Villa,Man City,60.2,39.8,1.89,2.3,18.3,13.6,79.4,71.9,2.52,1.04,0.19,0.26,0.55,0,2,1.48,2.35,H
Luton,Tottenham,63.1,36.9,2.23,1.21,13.4,13.6,86.5,71.7,2.07,2.44,0.13,0.18,0.69,0,0,0.67,-0.21,H
West Ham,Nottm Forest,60.4,39.6,2.23,1.47,13.3,14.2,81.5,71.2,2.71,0.53,0.56,0.23,0.21,5,2,1.46,1.07,H
Arsenal,Chelsea,65.5,34.5,1.97,2.4,14.0,16.9,89.2,75.4,1.39,0.73,0.43,0.22,0.35,5,5,0.74,1.02,D
Newcastle,Bournemouth,48.1,51.9,2.09,0.7,15.7,13.7,88.6,68.3,1.01,0.74,0.32,0.17,0.51,2,2,0.69,-1.89,H
Liverpool,Arsenal,66.2,33.8,2.01,2.14,21.3,13.3,86.2,70.6,2.68,0.8,0.43,0.37,0.2,4,1,1.4,1.13,H
Aston Villa,West Ham,52.0,48.0,2.65,1.71,20.9,8.6,80.5,87.9,2.49,1.24,0.18,0.12,0.7,0,3,0.89,2.48,H
Aston Villa,Luton,43.3,56.7,0.66,2.45,10.8,10.1,84.9,70.4,1.99,1.49,0.41,0.13,0.46,3,5,0.76,-1.84,A
Liverpool,Sheffield United,59.8,40.2,2.29,0.34,15.0,13.5,72.0,68.8,1.66,0.85,0.26,0.22,0.52,0,4,1.21,1.47,H
Nottm Forest,Wolves,50.1,49.9,2.17,2.09,9.0,7.9,79.7,83.2,2.52,0.78,0.37,0.4,0.23,2,5,0.8,-1.75,A
Liverpool,Fulham,54.0,46.0,2.71,0.48,14.4,15.0,85.0,71.9,0.89,1.38,0.2,0.31,0.49,0,5,1.19,0.19,D
Everton,Newcastle,42.2,57.8,0.94,1.88,16.3,11.4,73.3,79.9,1.48,1.73,0.52,0.23,0.25,0,0,0.84,-0.48,A
Arsenal,Crystal Palace,41.5,58.5,2.36,1.77,14.4,13.8,89.5,71.3,2.07,2.63,0.12,0.14,0.74,5,0,0.97,2.13,D
Arsenal,Brighton,59.0,41.0,0.8,0.68,8.7,9.0,87.9,78.0,1.18,1.86,0.51,0.13,0.36,3,4,1.3,-1.01,D
Newcastle,Wolves,48.1,51.9,2.42,1.92,13.6,6.6,85.7,80.0,1.51,2.72,0.21,0.11,0.68,1,2,0.56,-0.77,H
Wolves,Man United,58.9,41.1,1.77,1.27,21.0,5.5,74.0,86.6,2.15,2.29,0.11,0.25,0.64,0,0,0.68,-1.6,H
